,Identifies the type of dwelling involved in the sale.,Identifies the general zoning classification of the sale.,Linear feet of street connected to the property,plot size in square feet,Type of road access to property,General shape of property,Flatness of the property,Utilities,LotConfig,Slope of property,Neighborhood,Proximity to various conditions,Type of dwelling,Style of dwelling,Rates the overall material and finish of the house,Rates the overall condition of the house,Original construction date,Remodel date (same as construction date if no remodeling or additions),Type of roof,Roof material,Exterior covering on the house & Exterior covering on house (if more than one material),Masonry veneer type,Masonry veneer area in square feet,Evaluates the quality of the material on the exterior & Evaluates the present condition of the material on the exterior ,Type of foundation,Evaluates the height of the basement,Evaluate the general condition of the basement & Refers to walkout or garden-level walls,Rating of basement finished area,Type 1 finished square feet,Rating of basement finished area (if multiple types),Type 2 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of heating,HeatingQC,Central air conditioning,Electrical,First Floor square feet,Second-floor square feet,Low-quality finished square feet (all floors),Above grade (ground) living area square feet,Full bathrooms above grade,Half baths above grade,BedroomAbvGr,KitchenAbvGr,KitchenQual, Total rooms above grade (does not include bathrooms),Home functionality (Assume typical unless deductions are warranted),Number of fireplaces,Fireplace quality,Garage location,The year garage was built,GarageFinish,Size of garage in car capacity,Size of garage in square feet,GarageQual,GarageCond,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Three-season porch area in square feet,Screen porch area in square feet,Pool area in square feet,Pool quality,Fence,Miscellaneous feature not covered in other categories, $Value of miscellaneous feature,Month Sold (MM) & Year Sold (YYYY),Type of sale,Condition of sale,SalePrice
155,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,60,9600sqare feet,Paved,Regular,Near Flat/Level,AllPub,Corner,Gentle slope,Edwards,Adjacent to arterial stree&Normal,Single-family Detached,One and one-half story: 2nd level finished,6,5,1924,1950,Gable,Standard (Composite) Shingle,Wood Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,572,572,Gravity furnace,Fair,No,FuseF,572,524,0square feet,1096,1,0,2,1,Typical/Average,5,Typical Functionality,0,No,No,,No,0,0square feet,No,No,Dirt/Gravel,0square feet,8square feet,128square feet,0square feet,0square feet,0square feet,No,No,No,0,Apr&2008,Warranty Deed - Conventional,Normal Sale,79000
156,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,60,7200sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,NAmes,Normal,Single-family Detached,One story,5,7,1950,1950,Hip,Standard (Composite) Shingle,Wood Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,No,No& No Exposure,No,0,No,0,0,0,Gas forced warm air furnace,Average/Typical,Yes,FuseF,1040,0,0square feet,1040,1,0,2,1,Typical/Average,5,Typical Functionality,0,No,Detached from home,1950.0,Unf,2,625square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jun&2006,Warranty Deed - Conventional,Normal Sale,109500
157,2-STORY 1946 & NEWER,Residential Low-Density,92,12003sqare feet,Paved,Regular,Near Flat/Level,AllPub,Corner,Gentle slope,Timber,Normal,Single-family Detached,Two-story,8,5,2009,2010,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,84squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Excellent (100+ inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,774,774,Gas forced warm air furnace,Excellent,Yes,SBrkr,774,1194,0square feet,1968,2,1,4,1,Excellent,8,Typical Functionality,1,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),2009.0,Fin,3,680square feet,Typical/Average,TA,Paved,0square feet,75square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,May&2010,Home just constructed and sold, Home was not completed when last assessed (associated with New  Homes),269500
158,2-STORY 1946 & NEWER,Floating Village Residential,100,12552sqare feet,Paved,Regular,Near Flat/Level,AllPub,Corner,Gentle slope,Somerst,Normal,Single-family Detached,Two-story,7,5,2004,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,,0squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,GLQ,222,Unfinished,0,769,991,Gas forced warm air furnace,Excellent,Yes,SBrkr,991,956,0square feet,1947,2,1,3,1,Good,8,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2004.0,RFn,2,678square feet,Typical/Average,TA,Paved,0square feet,136square feet,0square feet,0square feet,0square feet,0square feet,No,Good Wood,No,0,May&2010,Warranty Deed - Conventional,Normal Sale,254900
159,2-STORY 1946 & NEWER,Residential Low-Density,134,19378sqare feet,Paved,Slightly irregular,Hillside - Significant slope from side to side,AllPub,Corner,Gentle slope,Gilbert,Normal,Single-family Detached,Two-story,7,5,2005,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,456squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed&Mimimum Exposure,GLQ,57,Unfinished,0,1335,1392,Gas forced warm air furnace,Excellent,Yes,SBrkr,1392,1070,0square feet,2462,2,1,4,1,Good,9,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2006.0,RFn,2,576square feet,Typical/Average,TA,Paved,239square feet,132square feet,0square feet,168square feet,0square feet,0square feet,No,No,No,0,Mar&2006,Home just constructed and sold, Home was not completed when last assessed (associated with New  Homes),320000
160,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,11120sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,CulDSac,Gentle slope,Veenker,Normal,Single-family Detached,One story,6,6,1984,1984,Gable,Standard (Composite) Shingle,Plywood,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,BLQ,660,Unfinished,0,572,1232,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1232,0,0square feet,1232,2,0,3,1,Typical/Average,6,Typical Functionality,0,No,Attached to the home,1984.0,Unf,2,516square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jun&2008,Warranty Deed - Conventional,Normal Sale,162500
161,2-STORY 1946 & NEWER,Residential Low-Density,110,13688sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,NridgHt,Normal,Single-family Detached,Two-story,9,5,2003,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,664squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Excellent (100+ inches),Typical - slight dampness allowed&Average Exposure (split levels or foyers typically score average or above),GLQ,1016,Unfinished,0,556,1572,Gas forced warm air furnace,Excellent,Yes,SBrkr,1572,1096,0square feet,2668,2,1,3,1,Excellent,10,Typical Functionality,2,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),2003.0,Fin,3,726square feet,Typical/Average,TA,Paved,400square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Mar&2008,Warranty Deed - Conventional,Normal Sale,412500
162,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,95,12182sqare feet,Paved,Regular,Near Flat/Level,AllPub,Corner,Gentle slope,NridgHt,Normal,Single-family Detached,One story,7,5,2005,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,226squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed&Mimimum Exposure,BLQ,1201,Unfinished,0,340,1541,Gas forced warm air furnace,Excellent,Yes,SBrkr,1541,0,0square feet,1541,2,0,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2005.0,RFn,2,532square feet,Typical/Average,TA,Paved,0square feet,70square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,May&2010,Home just constructed and sold, Home was not completed when last assessed (associated with New  Homes),220000
163,1/2 STORY - UNFINISHED ALL AGES,Residential Low-Density,55,5500sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,OldTown,Normal,Single-family Detached,One and one-half story: 2nd level unfinished,4,6,1956,1956,Gable,Standard (Composite) Shingle,Metal Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,882,882,Gas forced warm air furnace,Excellent,Yes,SBrkr,882,0,0square feet,882,1,0,1,1,Typical/Average,4,Typical Functionality,0,No,No,,No,0,0square feet,No,No,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,Minimum Privacy,No,0,Apr&2007,Warranty Deed - Conventional,Normal Sale,103200
164,1-STORY W/FINISHED ATTIC ALL AGES,RM,40,5400sqare feet,Paved,Regular,Near Flat/Level,AllPub,Corner,Gentle slope,OldTown,Normal,Single-family Detached,One story,6,7,1926,2004,Gable,Standard (Composite) Shingle,Metal Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed&Mimimum Exposure,LwQ,370,Unfinished,0,779,1149,Gas forced warm air furnace,Good,Yes,FuseA,1149,467,0square feet,1616,2,0,3,1,Good,5,Typical Functionality,0,No,Detached from home,1926.0,Unf,1,216square feet,Typical/Average,TA,Paved,0square feet,0square feet,183square feet,0square feet,0square feet,0square feet,No,No,No,0,Oct&2007,Warranty Deed - Conventional,Normal Sale,152000
165,2 FAMILY CONVERSION - ALL STYLES AND AGES,Residential Low-Density,62,10106sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,Edwards,Normal,2fmCon,One and one-half story: 2nd level finished,5,7,1940,1999,Gable,Standard (Composite) Shingle,Wood Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,ALQ,351,Average Rec Room,181,112,644,Gas forced warm air furnace,Good,Yes,SBrkr,808,547,0square feet,1355,2,0,4,2,Typical/Average,6,Typical Functionality,0,No,No,,No,0,0square feet,No,No,Paved,140square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Sep&2008,Warranty Deed - Conventional,Normal Sale,127500
166,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,10708sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,ClearCr,Normal,Single-family Detached,One story,5,5,1955,1993,Hip,Standard (Composite) Shingle,Wood Siding,,0squarefeetsqare feet,Good&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,LwQ,379,Below Average Living Quarters,768,470,1617,Gas forced warm air furnace,Excellent,Yes,FuseA,1867,0,0square feet,1867,1,0,2,1,Typical/Average,7,Typical Functionality,3,Good - Masonry Fireplace on the main level,Attached to the home,1955.0,Fin,1,303square feet,Typical/Average,TA,Paved,476square feet,0square feet,0square feet,0square feet,142square feet,0square feet,No,Good Wood,No,0,Nov&2009,Court Officer Deed/Estate,Normal Sale,190000
167,2-STORY 1946 & NEWER,Residential Low-Density,86,10562sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,NridgHt,Normal,Single-family Detached,Two-story,8,5,2007,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,Stone ,300squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Excellent (100+ inches),Typical - slight dampness allowed& No Exposure,GLQ,1288,Unfinished,0,294,1582,Gas forced warm air furnace,Excellent,Yes,SBrkr,1610,551,0square feet,2161,1,1,3,1,Excellent,8,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2007.0,Fin,3,789square feet,Typical/Average,TA,Paved,178square feet,120square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Nov&2007,Home just constructed and sold, Home was not completed when last assessed (associated with New  Homes),325624
168,2-STORY 1946 & NEWER,Residential Low-Density,62,8244sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,Gilbert,Normal,Single-family Detached,Two-story,7,5,2004,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,,0squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,840,840,Gas forced warm air furnace,Excellent,Yes,SBrkr,840,880,0square feet,1720,2,1,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2004.0,Fin,2,440square feet,Typical/Average,TA,Paved,100square feet,48square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,May&2007,Warranty Deed - Conventional,Normal Sale,183500
169,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,16669sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Corner,Gentle slope,Timber,Normal,Single-family Detached,One story,8,6,1981,1981,Hip,Wood Shakes,Plywood,Brick Face,653squarefeetsqare feet,Good&['ExterCond'],Cinder Block,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,1686,1686,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1707,0,0square feet,1707,2,1,2,1,Typical/Average,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1981.0,RFn,2,511square feet,Typical/Average,TA,Paved,574square feet,64square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jan&2006,Warranty Deed - Conventional,Normal Sale,228000
170,1-1/2 STORY FINISHED ALL AGES,RM,0,12358sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,OldTown,Adjacent to feeder street&Normal,Single-family Detached,One and one-half story: 2nd level finished,5,6,1941,1950,Gable,Standard (Composite) Shingle,Metal Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Rec,360,Unfinished,0,360,720,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,854,0,528square feet,1382,1,1,2,1,Typical/Average,7,Typical Functionality,0,No,Detached from home,1991.0,Unf,2,660square feet,Typical/Average,TA,Paved,237square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,May&2007,Warranty Deed - Conventional,Normal Sale,128500
171,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,141,31770sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Corner,Gentle slope,NAmes,Normal,Single-family Detached,One story,6,5,1960,1960,Hip,Standard (Composite) Shingle,Brick Face&Plywood,Stone ,112squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Good&Good Exposure,BLQ,639,Unfinished,0,441,1080,Gas forced warm air furnace,Fair,Yes,SBrkr,1656,0,0square feet,1656,1,0,3,1,Typical/Average,7,Typical Functionality,2,Good - Masonry Fireplace on the main level,Attached to the home,1960.0,Fin,2,528square feet,Typical/Average,TA,Partial Pavement,210square feet,62square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,May&2010,Warranty Deed - Conventional,Normal Sale,215000
172,2-STORY PUD - 1946 & NEWER,Residential Low-Density,44,5306sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,StoneBr,Normal,Townhouse End Unit,Two-story,7,7,1987,1987,Gable,Standard (Composite) Shingle,Hard Board,,0squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Good& No Exposure,GLQ,495,Average Rec Room,215,354,1064,Gas forced warm air furnace,Good,Yes,SBrkr,1064,703,0square feet,1767,2,0,2,1,Good,5,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1987.0,RFn,2,504square feet,Good,TA,Paved,441square feet,35square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jun&2006,Warranty Deed - Conventional,Normal Sale,239000
173,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,80,10197sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,NAmes,Normal,Single-family Detached,One story,6,5,1961,1961,Gable,Standard (Composite) Shingle,WdShing&Wd Shng,Brick Common,491squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,ALQ,288,Average Rec Room,374,700,1362,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1362,0,0square feet,1362,1,1,3,1,Typical/Average,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1961.0,Unf,2,504square feet,Typical/Average,TA,Paved,0square feet,20square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jun&2008,Court Officer Deed/Estate,Normal Sale,163000
174,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,47,12416sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,Timber,Normal,Single-family Detached,One story,6,5,1986,1986,Gable,Standard (Composite) Shingle,Vinyl Siding&Plywood,Stone ,132squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Good (90-99 inches),Fair - dampness or some cracking or settling& No Exposure,ALQ,1398,Low Quality,208,0,1606,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1651,0,0square feet,1651,2,0,3,1,Typical/Average,7, Minor Deductions 2,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1986.0,Fin,2,616square feet,Typical/Average,TA,Paved,192square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Nov&2008,Warranty Deed - Conventional,Normal Sale,184000
175,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,84,12615sqare feet,Paved,Regular,Near Flat/Level,AllPub,Corner,Gentle slope,Edwards,Normal,Single-family Detached,One story,6,7,1950,2001,Gable,Standard (Composite) Shingle,WdShing&Wd Shng,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Good&Average Exposure (split levels or foyers typically score average or above),ALQ,477,Unfinished,0,725,1202,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,2158,0,0square feet,2158,2,0,4,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,1950.0,Unf,2,576square feet,Typical/Average,TA,Paved,0square feet,29square feet,39square feet,0square feet,0square feet,0square feet,No,Minimum Privacy,No,0,Jun&2007,Warranty Deed - Conventional,Normal Sale,243000
176,2-STORY 1946 & NEWER,Residential Low-Density,97,10029sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Corner,Gentle slope,ClearCr,Normal,Single-family Detached,Two-story,6,5,1988,1989,Gable,Standard (Composite) Shingle,Plywood,Brick Face,268squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,GLQ,831,Unfinished,0,320,1151,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1164,896,0square feet,2060,2,1,4,1,Typical/Average,8,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1988.0,Unf,2,521square feet,Typical/Average,TA,Paved,0square feet,228square feet,0square feet,0square feet,192square feet,0square feet,No,No,No,0,Sep&2007,Warranty Deed - Conventional,Normal Sale,211000
177,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,0,13650sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,Sawyer,Normal,Single-family Detached,One and one-half story: 2nd level finished,5,5,1958,1958,Gable,Standard (Composite) Shingle,Metal Siding,,0squarefeetsqare feet,Good&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,ALQ,57,Below Average Living Quarters,441,554,1052,Gas forced warm air furnace,Excellent,Yes,SBrkr,1252,668,0square feet,1920,2,0,4,1,Good,8,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,1958.0,Unf,2,451square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jul&2006,Warranty Deed - Conventional,Normal Sale,172500
178,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,63,17423sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,CulDSac,Gentle slope,StoneBr,Normal,Single-family Detached,One story,9,5,2008,2009,Hip,Standard (Composite) Shingle,Vinyl Siding,Stone ,748squarefeetsqare feet,Excellent&['ExterCond'],Poured Contrete,Excellent (100+ inches),Typical - slight dampness allowed& No Exposure,GLQ,1904,Unfinished,0,312,2216,Gas forced warm air furnace,Excellent,Yes,SBrkr,2234,0,0square feet,2234,2,0,1,1,Excellent,9,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2009.0,Fin,3,1166square feet,Typical/Average,TA,Paved,0square feet,60square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jul&2009,Home just constructed and sold, Home was not completed when last assessed (associated with New  Homes),501837
